HB722501,0,HB722501_A441D,1096000,100
HB722501,0,HB722501_A4810,1096000,100
HB721103,0,HB721103_A441D,1056000,100
HB721103,0,HB721103_A4810,1056000,100
HSSE290L,0,HSSE290L_NCCGU,2090000,100
HB722502,0,HB722502_A441D,1167000,100
HB722502,0,HB722502_A4810,1167000,100
HB721003,0,HB721003_A441D,963000,100
HB721003,0,HB721003_A4810,963000,100
HB721501,0,HB721501_A441D,625000,100
HB721501,0,HB721501_A4810,625000,100
HB721101,0,HB721101_A441D,525000,100
HB721101,0,HB721101_A4810,525000,100
HB721102,0,HB721102_A441D,558000,100
HB721102,0,HB721102_A4810,558000,100
HB7215G,0,HB7215G_A441D,238000,100
HB7215G,0,HB7215G_A4810,238000,100
HB311403,0,HB311403_GYM,3210000,100
HB311403,0,HB311403_LD,3210000,100
HSSE290F,0,HSSE290F_NCCGU,1990000,100
HB721002,0,HB721002_A441D,498000,100
HB721002,0,HB721002_A4810,498000,100
HB721104,0,HB721104_A441D,962000,100
HB721104,0,HB721104_A4810,962000,100
HB911601,0,HB911601_FIVGY,885000,100
HB911601,0,HB911601_NCCGY,885000,100
HB721001,0,HB721001_A441D,465000,100
HB721001,0,HB721001_A4810,465000,100
HBA501501,0,HBA501501_SP,759000,100
HBA201801,0,HBA201801_CZ,899000,100
HA310611,0,HA310611_DIO,269000,100
HA310611,0,HA310611_LD,269000,100
HA310611,0,HA310611_NCC,269000,100
HA310611,0,HA310611_OS,269000,100
HB7211F,0,HB7211F_A441D,199000,100
HB7211F,0,HB7211F_A4810,199000,100
HB31H09ECN,0,HB31H09ECN_A481A,1594000,100
HB31H09ECN,0,HB31H09ECN_A481C,1594000,100
HBA201501,0,HBA201501_CZ,799000,100
HB911501,0,HB911501_FIVGY,799000,100
HB911501,0,HB911501_NCCGY,799000,100
HB7205G,0,HB7205G_A441D,117000,100
HB7205G,0,HB7205G_A4810,117000,100
HB7210G,0,HB7210G_A441D,166000,100
HB7210G,0,HB7210G_A4810,166000,100
HBA501102,0,HBA501102_SP,1719000,100
HB572201,0,HB572201_A480A,3599000,100
HB572201,0,HB572201_A481A,3599000,100
HBA501101,0,HBA501101_SP,629000,100
HBA201101,0,HBA201101_CZ,599000,100
HBA501601,0,HBA501601_SP,799000,100
HB221801,0,HB221801_L739,1599000,100
HB221801,0,HB221801_L741C,1599000,100
HB722602,0,HB722602_A441D,1227000,100
HB722602,0,HB722602_A4810,1227000,100
HB7210F,0,HB7210F_A441D,166000,100
HB7210F,0,HB7210F_A4810,166000,100
HB721004,0,HB721004_A441D,869000,100
HB721004,0,HB721004_A4810,869000,100
